author,published_date,updated_date,like_count,comment,vader_sentiment
@truthteller7368,2024-01-31 16:32:24+00:00,2024-01-31 16:32:24+00:00,0.0,Absolutely beautiful. The defense of the free market is wonderful. Collectivism is equally to mass death and mass use of a police state to control the individual. Everywhere collectivism has been instituted has created widespread misery.,positive
@susanblackmith3747,2024-01-31 15:11:15+00:00,2024-01-31 15:11:15+00:00,2.0,"He is honest. For the first time ever we have a president such intelligent and decided to fight corruption. The unions an politicians highly corrupts are doing everything to overthrow him, even when 60% of the population vote for him.He is our only hope to become a civilized nation again",positive
@udaysaroj9936,2024-01-31 12:35:59+00:00,2024-01-31 12:35:59+00:00,0.0,why are the teeth not visible?,neutral
@starlord2917,2024-01-31 11:22:18+00:00,2024-01-31 11:29:08+00:00,0.0,"Aren&#39;t the capitalists funding wef and davos? All media that lie to us, all pharma giants are payed by capitalism money. I mean, nice words, but the actual fact is that capitalism generated socialism for the little people while they (the capitalists) enjoy favours and tax cuts from bought politicians. Look where we are and where we are heading because of this... its good that we can solve &quot;global warming&quot; by imposing greater taxes for the people  and spending trilions of dollars but we can&#39;t solve homelesness, world hunger or poverty. I get the feeling he is talking for freedoms for corporations and not for the little guy. He doesn&#39;t say anything of use. Just nice words wrapped at the benefit of capitalist corporations. If the state is not the solution then what is? Corporations? Wealthy antreprenors? Its all about the money and with that in the way there is no room for kindness, sacrifice, altruism, caring if there is no money to make. Maybe the state controlled and payed by corporations is not the solution. That I agree.",positive
@user-hl9vq2sw7c,2024-01-31 08:53:24+00:00,2024-01-31 08:53:24+00:00,0.0,This has to be either fake or CGI as he glitches alot.. this is not normal..<br><br>Is this video even real?,negative
@CleanbloodForever-mx8yn,2024-01-31 08:16:31+00:00,2024-01-31 08:16:31+00:00,0.0,SCREW YOUTUBE THE PROPEGANDA MACHINE!!,negative
@tomekcrewlik7454,2024-01-31 08:08:06+00:00,2024-01-31 08:08:06+00:00,0.0,🥳,positive
@janechadwick6839,2024-01-31 07:05:58+00:00,2024-01-31 07:05:58+00:00,0.0,I bet the WEF didnt expect this. Good for him and respect for Argentina. The WEF is going down as the people are waking up. So Rishi&#39; schapps and Hunt better get back FOR the people and get their Socialist Snouts out of the WEF pot.,positive
@briarstick6500,2024-01-31 06:20:09+00:00,2024-01-31 06:20:09+00:00,0.0,For healing and freedom it will take people like him and Trump just to start,positive
@myvoiceafrica254,2024-01-31 06:00:39+00:00,2024-01-31 06:00:39+00:00,0.0,What are the values of the western world? What are the virtues that guide them?,positive
@tomekcrewlik7454,2024-01-31 05:55:11+00:00,2024-01-31 05:55:11+00:00,0.0,🥳,positive
@milkynebula7620,2024-01-31 05:49:43+00:00,2024-01-31 05:49:43+00:00,1.0,Long live freedom dammit!,positive
@beebee4334,2024-01-31 04:59:54+00:00,2024-01-31 04:59:54+00:00,1.0,"👏👏<a href=""https://www.youtube.com/watch?v=YtegqgKYR-U&amp;t=222"">3:42</a>  A 95% reduction in poverty ... &quot;the conclusion is obvious.... far from being the cause of our problems ..... Free Market Capitalism, as an economic system, is superior in productive terms&quot;        Indeed!",positive
@edelmirajensen2983,2024-01-31 04:09:38+00:00,2024-01-31 04:09:38+00:00,2.0,Thank you for speaking up for so many of us!!! We are with you!,positive
@benhurn8277,2024-01-31 02:34:41+00:00,2024-01-31 02:34:41+00:00,0.0,"This AI &quot;translation&#39; is BS, and everything being spoken is pure propaganda.",negative
@davader2onaPC,2024-01-31 02:17:32+00:00,2024-01-31 02:17:32+00:00,0.0,The world needs a CAP in Capitalism without it an individual can take monopoly and wipe out capitalism itself. He who has the money wants ALL the money.,neutral
@jamienibler9952,2024-01-31 01:46:26+00:00,2024-01-31 01:46:26+00:00,5.0,Thank you for giving us some hope..All true.,positive
@creativecatalyst777,2024-01-30 21:05:38+00:00,2024-01-30 21:05:38+00:00,2.0,"Everyone in that room is 💯 for the exact opposite which the speaker proposes. I cannot help but wonder if this is Davos&#39;s idea to control the narrative, calm people to believe something is being done about this, so we won&#39;t take matters in our own hands. Gotta keep our eyes peeled anytime any politician from any country speaks. It&#39;s happened non-stop since the 1950&#39;s. Just keep that in mind.",positive
@Micheal313,2024-01-30 20:33:30+00:00,2024-01-30 20:33:30+00:00,0.0,It&#39;s a about pumping out the units. Right on,neutral
@Micheal313,2024-01-30 20:31:37+00:00,2024-01-30 20:31:37+00:00,0.0,Do I not work everyday and still live in poverty without healthcare?,negative
@sublimnalphish7232,2024-01-30 20:22:45+00:00,2024-01-30 20:22:45+00:00,0.0,"Monopolies are taking over capitalism! It was made illegal for a very good reason. That was distroyed in our life time. We need to stop those by not reelecting ANY of those who hold office . We need to &quot;drain tue swamp&quot; ourselves. Trump didn&#39;t and they will not vote themselves less money , quite the opposite. They use their time in office to fill their coffers not to serve the people and haven&#39;t (most of them) for a very long time.",negative
@sublimnalphish7232,2024-01-30 20:17:29+00:00,2024-01-30 20:17:29+00:00,0.0,We need a regulation of both big companies and government. Blackwater is acting as behind the scenes as our gov. They have us in a vice. We need to stop supporting any of them.,positive
@sublimnalphish7232,2024-01-30 20:04:21+00:00,2024-01-30 20:04:21+00:00,0.0,It&#39;s not capitalism but the desire to make a profit as the cost of people . The blatant disregard of the masses . So they are not doing capitalism for the good of all but for the good of those in power and owners of those companies and their monopoly of the system.,positive
@stevehartz4615,2024-01-30 19:56:09+00:00,2024-01-30 19:56:09+00:00,0.0,He means the demmarats!!!!,neutral
@Brisha_Rox_It,2024-01-30 19:39:18+00:00,2024-01-30 19:39:18+00:00,0.0,"Polarization at the max. Not Socialism vs Capitalism. There is no curing poverty when we kill our home, Earth, and ourselves. There is a solution in the middle we have yet to find. Propaganda at it&#39;s finest. Comments have been filtered out to display only endorsing ones.",negative
@naufelvilcassim6064,2024-01-30 19:35:56+00:00,2024-01-30 19:35:56+00:00,0.0,"In his 1980 presidential- election campaign, Ronald Reagan famously argued that &quot;government is not the solution but the problem.&quot; Lolking at the USA about 40 years later, we  see the following:<br>The  US is the biggest debtor nation the world and guess who owns a major part of that debt - yes, it is China<br>Among the major economies, it is the most unequal country both in terms of income and social mobility <br>Where as in Africa (where according to one Donald Trump where one finds most of the sh..ho.. countries ) life expentency is iincreasing, in significant parts of  the US, it has gone down and continues to do so.<br>I could go on.......but the point is clear Watch it the good people of Argentina!",positive
@noname-op6vh,2024-01-30 18:39:01+00:00,2024-01-30 18:39:01+00:00,2.0,Brilliant speech,positive
@snaipert6338,2024-01-30 18:26:18+00:00,2024-01-30 18:26:18+00:00,0.0,There are dozens of cuts and pastes in this speech.!!!,negative
@jammiecg0001,2024-01-30 17:18:03+00:00,2024-01-30 17:18:03+00:00,0.0,He looks like a pissed off Frodo.,negative
@ebgnina,2024-01-30 16:57:26+00:00,2024-01-30 16:57:26+00:00,0.0,"Seems some parts were cut out. That worries me. I like things uncut, I manipulated to all me to trust credibility.",negative
@crazyyoutuberguy,2024-01-30 16:28:49+00:00,2024-01-30 16:28:49+00:00,0.0,"That was NOT AI, it was some Indian guy saying it!!",neutral
@srikandiwarion1422,2024-01-30 16:20:55+00:00,2024-01-30 16:20:55+00:00,0.0,👏👏👏👏BOOM🤜,neutral
@Heartmyasu,2024-01-30 15:13:59+00:00,2024-01-30 15:13:59+00:00,0.0,The World Economic Forum already knows everything that is being said here. They&#39;re just reeling back their oppressive influences for a while to &quot;gain your trust&quot;.,negative
@user-yd8zi7zi1b,2024-01-30 14:29:41+00:00,2024-01-30 14:29:41+00:00,1.0,Phönix Hypothese!!!,neutral
@jamesmccartney1535,2024-01-30 14:24:42+00:00,2024-01-30 14:24:42+00:00,0.0,Nugget!,neutral
@WWG1WGA-MAGA2024,2024-01-30 14:23:07+00:00,2024-01-30 14:23:07+00:00,0.0,fake,negative
@marafrostwych1976,2024-01-30 13:41:34+00:00,2024-01-30 13:58:22+00:00,0.0,"Is this guy really saying what we want to hear or what? I really don&#39;t know if it&#39;s just a show or he&#39;s being for real. Anyway, either he&#39;s putting on a show for the WEF for some gain of his own country or really is putting a genuine truth out there for all of us globally. I believe in our God given rights as humans to be individuals and have our own minds and ask questions, not this collectivism stuff because I&#39;ve seen it our past history as humans. It destroys us in our minds, body and spirit. People are brainwashed into thinking they are better off being told what to do, how to think, how to act, etc. It just doesn&#39;t work economically or in any other status of being a human. We were given minds to learn, experience, explore on this planet but it would be nice if we would stop fighting each other so much and learn to be more compassionate, caring and respectful to our fellow humans. We can be individuals and work together to be better people for the betterment of our society. Division because of skin color, ethnicity, ETC is just ignorant because underneath it all. We bleed the same color. RED. God help us ALL.",positive
@roroneto,2024-01-30 13:27:58+00:00,2024-01-30 13:27:58+00:00,0.0,I love this guy!,positive
@Carlto1,2024-01-30 13:19:32+00:00,2024-01-30 13:19:32+00:00,1.0,only wish you was a kenyan president,positive
@JackFrishert,2024-01-30 12:59:21+00:00,2024-01-30 12:59:21+00:00,1.0,Truth is in the middle. Capitalism is not the best and not the worst. Today it is cause of deforestation and pollution at large also it doesn&#39;t fight poverty or depends on it! It&#39;s manipulative repression. It&#39;s better then communism etc. But certainly not the holy grail.,positive
@dboysify,2024-01-30 12:27:13+00:00,2024-01-30 12:27:13+00:00,3.0,Wow..wow..wow...what a brave..direct..speach..,neutral
@WWG1WGA-MAGA2024,2024-01-30 11:45:30+00:00,2024-01-30 11:45:30+00:00,0.0,impersonator,neutral
@felixstamm5270,2024-01-30 11:39:08+00:00,2024-01-30 11:39:08+00:00,0.0,Best men 🎉,positive
@WorldviewsafeTech,2024-01-30 11:25:43+00:00,2024-01-30 11:25:43+00:00,0.0,"It&#39;s been a long time since I heard such a ridiculous speech 😂. Does anyone have any critical thinking left? <br><br>Argentina was doing well, with the social policies you&#39;d expect to see in Scandinavian nations (Which by the way are doing well in most areas of importance) up until 91. <br><br>Then the IMF alongside the US dollar comes in. <br><br>Winde on to 2001, and the nation was xxxx. <br><br>Unregulated unrestricted capitalism is the reason every single nation is in vast debt. <br><br>The problem always with capitalism, is eventually you run out of people to exploit, resources to rape, and other nations riches to steal. <br><br>You need regulation in all essential areas. <br><br>Don&#39;t listen to numpty, who&#39;ll leave office far richer than when he came in. Whilst having,  allowed extensive exploitation of that nations vast natural resources. <br><br>You need to remove healthcare education transportation energy legal system politics prison system, and other areas of society&#39;s core infrastructure out of the capitalist system.<br><br>Plenty of other areas to make fake fiat system profits 😂",positive
@HeWhoIsWhoHeIs,2024-01-30 11:14:38+00:00,2024-01-30 11:14:38+00:00,0.0,"Go, South American Trump!!! GO!!! WOOOO ❤❤❤❤",positive
@paolinobeta,2024-01-30 10:56:43+00:00,2024-01-30 10:56:43+00:00,0.0,Truly a man of HIS time,positive
@teresasimpson9209,2024-01-30 10:54:30+00:00,2024-01-30 10:54:30+00:00,0.0,America’s current sitting government is hell bent on taking up down!,negative
@gosolo1000,2024-01-30 10:48:57+00:00,2024-01-30 10:48:57+00:00,0.0,"How come a South American President make a speech which will be perfect for George Washington, Abraham Lincoln or John Kennedy? What happened to United States? Why United States gave up of all its value? Milei is right.",positive
@joshuaraper61,2024-01-30 09:52:26+00:00,2024-01-30 09:52:26+00:00,0.0,Wow,positive
@MrPilcher1,2024-01-30 08:45:53+00:00,2024-01-30 08:46:07+00:00,0.0,Ignorance at its greatest,positive
@odinsonof1706,2024-01-30 07:59:50+00:00,2024-01-30 07:59:50+00:00,0.0,just another puppet of elite,neutral
@marktimmer2212,2024-01-30 07:53:02+00:00,2024-01-30 07:53:02+00:00,0.0,"Yes but, we want total control of this planet and we have , so yeah",positive
@LAPofficial1,2024-01-30 07:44:55+00:00,2024-01-30 07:44:55+00:00,0.0,"Let me get this right! This is a fake, adultered, computer generated version of a speech. The lip movements have been changed to appear as if he&#39;s actually speaking in English, when in fact he spoke in Spanish! This is not AI, this is BS.",negative
@MoniqueWyatt,2024-01-30 06:58:55+00:00,2024-01-30 06:58:55+00:00,1.0,Amazing! A man with brains and courage at last!,positive
@BrianBaileyedtech,2024-01-30 06:16:15+00:00,2024-01-30 06:16:15+00:00,1.0,Brilliant - BANG ON!!,positive
@ebythebeach,2024-01-30 04:10:06+00:00,2024-01-30 04:10:06+00:00,1.0,1000000000000000000% CORRECT. Only the corrupt and brainwashed could disagree without facts.,negative
@ebythebeach,2024-01-30 04:01:33+00:00,2024-01-30 04:01:33+00:00,1.0,I wouldn&#39;t even give these leaders the benefit of the doubt &quot;well intentioned&quot;,positive
@ianorangenbaum1092,2024-01-30 03:20:53+00:00,2024-01-30 03:20:53+00:00,0.0,Wow,positive
@ebonymembers8645,2024-01-30 02:57:14+00:00,2024-01-30 02:57:14+00:00,0.0,The west is getting back all the pain they put out. The western world is built on the  blood of every nation they destroyed. Nothing last forever. The crazy part is the west is being destroyed by the very hands that built it. The west is greed is destroying the west just like the west lust for gold and greed destroyed everyone else countries.,negative
@emmanuelgrigoreas1171,2024-01-30 02:31:12+00:00,2024-01-30 02:31:12+00:00,0.0,READ THE HOLY FIRE.(SKARLAKIDIS). IS GOING TO CHANGE YOUR LIFE. YOU SEE THE TRUTH AND FEEL HUMAN.,positive
@yamilatavera6954,2024-01-30 02:17:49+00:00,2024-01-30 02:17:49+00:00,0.0,😊❤,positive
@Nydiade1,2024-01-30 01:10:35+00:00,2024-01-30 01:10:35+00:00,0.0,I love this guy!!!,positive
@karieberry1070,2024-01-30 00:01:04+00:00,2024-01-30 00:01:04+00:00,1.0,Interesting!! What a warning !! God bless !!,positive
@annamariebashford599,2024-01-29 23:24:03+00:00,2024-01-29 23:24:03+00:00,4.0,We need more leaders like him,positive
@stratster119,2024-01-29 21:21:53+00:00,2024-01-29 21:21:53+00:00,0.0,"BS.<br><br>When your system ends up creating companies, &quot;too big to fail&quot;, and gov&#39;t has to &quot;socialize&quot; the &quot;free market&quot;, your argument DIES.",negative
@Krzys_D,2024-01-29 20:58:02+00:00,2024-01-29 20:58:02+00:00,0.0,"this guy is awesome, the problem with socalism is that you are forced to help others, while being free and not telling people what to do, will cause those same people to help those less fortunate, we don&#39;t need to be forced to help others or being robbed with taxes and told its going to help others in the country when its used to buy bombs and kill others.",positive
@Saphira6930,2024-01-29 20:25:39+00:00,2024-01-29 20:25:39+00:00,3.0,"Brilliant!  Most knowledgeable economist I have heard since Adam Smith (Scottish author of the Wealth of Nations, circa 1776).  The 21st Century world needs your economic insight and understanding, Sir.  Hope others will listen.  God bless you.",positive
@BoiledKoolaid,2024-01-29 20:11:19+00:00,2024-01-29 20:11:19+00:00,0.0,"&quot;He then cited what he describes as myths regarding capitalism, rejecting the idea that the Nordic model is socialist, and saying that the Nordic countries are &quot;more pro-market than people think&quot;. He labelled the problem of social inequality as a &quot;lying hoax&quot;, and said that &quot;social justice is unfair&quot;. He concluded that this was a debate about values, where socialism embodies envy, resentment, and coercion, while capitalism or liberalism stands for the unrestricted respect for the life project of fellow individuals.&quot;<br><br>&quot;La charla TEDx de Milei donde explica la &quot;belleza&quot; del capitalismo&quot;<br><br>In other words, universal healthcare, universal education, proportional representation as a voting system, and large scale collective bargaining for workers are capitalist objectives. I can&#39;t imagine why he&#39;s so avidly against them.",negative
@noneofyourbussiness2788,2024-01-29 19:29:08+00:00,2024-01-29 19:29:08+00:00,0.0,He speaks the true,positive
@lesismore999,2024-01-29 19:28:38+00:00,2024-01-29 19:28:38+00:00,0.0,"Yo, Biden this is what Real Leadership looks like!!!",positive
@davidedwards9120,2024-01-29 17:34:13+00:00,2024-01-29 17:34:13+00:00,5.0,I like this guy. He dared to say this in front of the people who are creating the problems.,positive
@roberttitley2790,2024-01-29 17:20:11+00:00,2024-01-29 17:20:11+00:00,0.0,Bet hes banned now. What a legend though,negative
@Ris3451,2024-01-29 17:03:57+00:00,2024-01-29 17:03:57+00:00,1.0,"<a href=""https://www.youtube.com/watch?v=YtegqgKYR-U&amp;t=268"">4:28</a> When Javier says in the AI version than socialism is altruistic towards others that&#39;s not a correct translation. What he meant to say is that socialism is altruistic but only because it &quot;redistributes&quot; as they like to say, a fancy word for plain stealing at gun point, to pay the poor that keep voting them.",negative
@grimeoverlord,2024-01-29 16:56:51+00:00,2024-01-29 16:56:51+00:00,0.0,🙌🙌🙌,neutral
@user-zy3qj2hb2s,2024-01-29 15:32:19+00:00,2024-01-29 15:32:19+00:00,0.0,He’s more American than our president.,neutral
@neddflanders1455,2024-01-29 14:52:08+00:00,2024-01-29 14:52:08+00:00,0.0,When survival depends on pure capitalism it&#39;s no longer survival. It&#39;s cannibalism. Economic absolutists are just conartists.,negative
@gergelymagyarosi9285,2024-01-29 13:51:58+00:00,2024-01-29 13:53:35+00:00,0.0,"The problem with deifying free market capitalism is that it is very hard to guarantee free market rules.<br>People in power often do not have the incentive to make such rules.<br>Another problem is, you still need some type of wellfare system if you don&#39;t want the elderly and disabled starve.",negative
@mindar1484,2024-01-29 10:53:45+00:00,2024-01-29 10:53:45+00:00,0.0,Those elites wants to control the people and the world. That&#39;s the agenda of anti Christ.,negative
@marinusscholtz9342,2024-01-29 10:35:50+00:00,2024-01-29 10:35:50+00:00,0.0,Awesome wisdom in this speech!!!!,positive
@capnjackgallows3204,2024-01-29 10:09:09+00:00,2024-01-29 10:09:09+00:00,0.0,Milei what a fucking guy absolutely legendary 😊,positive
@mhiebendaal3836,2024-01-29 08:33:41+00:00,2024-01-29 08:33:41+00:00,0.0,Some are worried. <br>I should watch my back.,negative
@mhiebendaal3836,2024-01-29 08:31:52+00:00,2024-01-29 08:31:52+00:00,0.0,"Argentina says, NO too Davos.  Period.",negative
@mhiebendaal3836,2024-01-29 08:29:59+00:00,2024-01-29 08:29:59+00:00,0.0,❤Argentina,neutral
@mhiebendaal3836,2024-01-29 08:29:11+00:00,2024-01-29 08:29:11+00:00,2.0,This is an AWESOME Speech.,positive
@mhiebendaal3836,2024-01-29 08:27:16+00:00,2024-01-29 08:27:16+00:00,0.0,His English is excellent. <br>Much ❤️.  $#@% Davo&#39;s.<br>A man that speaks truth too the world!!!,positive
@mhiebendaal3836,2024-01-29 08:23:40+00:00,2024-01-29 08:23:40+00:00,0.0,I am sorry.😢<br>I do need to repent too ALL of You.<br>I apologize and hold myself at anyone&#39;s mercy.,negative
@mhiebendaal3836,2024-01-29 08:21:23+00:00,2024-01-29 08:21:23+00:00,0.0,Truth.  Your welcome.,positive
@sw4035,2024-01-29 05:02:30+00:00,2024-01-29 05:02:30+00:00,0.0,Where is his chainsaw?,neutral
@josephmaganja650,2024-01-29 02:34:48+00:00,2024-01-29 02:35:10+00:00,0.0,"Gtp,GTS.",neutral
@josephmaganja650,2024-01-29 02:33:19+00:00,2024-01-29 02:34:20+00:00,0.0,🤑🏑🥍🏓🎾🎳,neutral
@svetlanachudinova4980,2024-01-29 00:01:15+00:00,2024-01-29 00:01:15+00:00,0.0,"What he talking about?! We all lives in capitalism system when all power and money( printing) in a hands small group of people, less than 1% had all resources of 99% and those 90-99% lived in a poverty! This is a capitalism!",negative
@davidkuharich9269,2024-01-28 23:44:52+00:00,2024-01-28 23:44:52+00:00,0.0,"Love this guy, his people found themselves a good one.",positive
@alisaharwood7077,2024-01-28 23:43:35+00:00,2024-01-28 23:43:35+00:00,0.0,DEEP State&#39;s being defunded,neutral
@cherylcarmody9517,2024-01-28 23:33:43+00:00,2024-01-28 23:33:43+00:00,0.0,"I see a lot of editing,  speach skipping. The fact that he&#39;s gathering with globalist,  I&#39;m shocked to hear him speak opposite from the globalist...is this an AI Bot? What&#39;s the gain here? Motive? To calm the masses?<br>Jesus said deception would be a sign.....Texas Border, Michelle Obama on election form, election year in USA, wars in Middle East,  Americans dying at the hands of Iran! Today.....Buyers Beware what&#39;s coming down the pipe....<br>They can&#39;t repeat C- vid......so it&#39;s got to be more wars and lies....<br>STAND DOWN,  <br>Pray for truth to rise from the darkness. TRUMP 2024.....",negative
@MarioCagnazzo-sw8th,2024-01-28 23:19:27+00:00,2024-01-28 23:19:27+00:00,0.0,Afuera😁😁😁😁👍👍👍👍👍👍👍👍👍👍,positive
@kramer26,2024-01-28 22:24:25+00:00,2024-01-28 22:24:25+00:00,0.0,WEF et al must be outlawed.,neutral
@user-vq9gd2di9x,2024-01-28 21:42:12+00:00,2024-01-28 21:42:12+00:00,0.0,one to talk THIS is Big Mouth thinks he knows everything his country is a model citizen.,neutral
@kimphilipson2821,2024-01-28 21:41:14+00:00,2024-01-28 21:41:14+00:00,0.0,Bravo👏👏👏,neutral
@leoniewilson5473,2024-01-28 21:23:03+00:00,2024-01-28 21:23:03+00:00,5.0,Aussie here. He described our country now. 😢,negative
@smithwesson499,2024-01-28 20:58:13+00:00,2024-01-28 20:58:13+00:00,0.0,"Breaking!  Every American needs to be aware of this, the Secret Service detail that surrounds and protects President Trump has been ordered to NOT wear a Red Tie while protecting President Trump, this is antithetical to their duty&#39;s and protocol,  let me explain.<br>Removing Red Ties from the Secret Service agents will make President Trump more visible to a Assassination attempt from a Sniper at long range, the removal of Red Ties from Agents that surround and are in close proximity of Trump will maxmize the very brief window of opportunity for a an attempt at Assassinating President Trump. We the American people needwhe to ask WHO ordered agents to not wear Red Ties while protecting President Trump.  Not only WHO ordered the Agents but where that order came from.",positive
@piporeyesgmail,2024-01-28 20:50:39+00:00,2024-01-28 20:50:39+00:00,0.0,Increíble 👏👏👏👏👏,neutral
@CCBrady,2024-01-28 20:01:57+00:00,2024-01-28 20:01:57+00:00,0.0,Biden and Canada’s President Trudeau  are working overtime to destroy our lives !!!,negative
@ilkinhuseynov6511,2024-01-28 19:31:40+00:00,2024-01-28 19:37:05+00:00,0.0,"I wish he does what he says in his country and we see the outcomes as evidence(hopefully for the good). As an economist I would say extremes(capitalism,socialism) are not good",positive
@michaelbee2165,2024-01-28 18:32:14+00:00,2024-01-28 18:32:14+00:00,0.0,"Totalitarian socialism and Marxism have been proven to fail over and over and over. Finally, someone who understands how best to ensure economic freedom to provide the most snd best opportunities for the people to lift themselves out of poverty.  Free market economic principles are not only superior for generating economic growth and opportunity. It is the most moral system that generates the most opportunity for wealth building",positive
@tommtom8662,2024-01-28 18:23:41+00:00,2024-01-28 18:23:41+00:00,0.0,Brilliant!,positive
@radmilasasic3251,2024-01-28 18:11:42+00:00,2024-01-28 18:11:42+00:00,0.0,Just to say  bravo bravo!,neutral
@bryancreech1236,2024-01-28 17:41:06+00:00,2024-01-28 17:41:06+00:00,0.0,Who give him a black eye??????,neutral
@derekpatton6527,2024-01-28 16:02:27+00:00,2024-01-28 16:02:27+00:00,0.0,If America keeps going down the path it’s on I will be heading to Argentina,neutral
@user-vq9gd2di9x,2024-01-28 15:11:11+00:00,2024-01-28 15:11:11+00:00,0.0,God these dictators okay maybe you should fix your country first instead of telling us how to run our business.,positive
@borisstipica8863,2024-01-28 14:51:24+00:00,2024-01-28 14:51:24+00:00,0.0,"London and Washington have still brain from colonial time.<br>New Delhi, Peking, Moskva is power today.<br>New time <br>Free Palestina",neutral
@adamcarlomisseri9119,2024-01-28 13:56:45+00:00,2024-01-28 13:56:45+00:00,0.0,"He just fully lied, with Klaus approval. He&#39;s gonna do the opposite. Read this comment again next year!",positive
@rodspence5105,2024-01-28 13:10:08+00:00,2024-01-28 13:10:08+00:00,0.0,My internet still working .stupid title.,negative
@peterplful6342,2024-01-28 12:19:07+00:00,2024-01-28 12:19:07+00:00,1.0,"He&#39;s just like us! He&#39;s different than the others! But more than anything, he&#39;s not boring!",positive
@calamcouzens2090,2024-01-28 12:10:53+00:00,2024-01-28 12:10:53+00:00,0.0,We need leaders like this in the uk not rishni sunak,positive
@dannye6912,2024-01-28 11:40:11+00:00,2024-01-28 11:40:11+00:00,0.0,His speech will fall on deaf ears unfortunately.,negative
@GlendaRobinson-yp5eu,2024-01-28 08:04:21+00:00,2024-01-28 08:04:21+00:00,0.0,Now i am not rich but surely the world is more than about how much bloody money.,negative
@electromilch793,2024-01-28 07:09:20+00:00,2024-01-28 07:09:20+00:00,0.0,The spirit of Bitcoin 🔥🕺<br>No CBDC&#39;S ❤,positive
@texasgirl6450,2024-01-28 06:19:31+00:00,2024-01-28 06:19:31+00:00,0.0,Finally.  Someone said it. ✌️🇨🇱🇺🇸,neutral
@jamiecollins6832,2024-01-28 04:48:20+00:00,2024-01-28 04:48:20+00:00,0.0,All he is saying is ... and this is to the rich people and leaders... keep it as it is because if u go to hard to quick you will lose it all. He is worried about what he and them could lose . He was lol saying that we got it good now while how many work daily when life is for living . Small small brains see through what they say. It&#39;s us and them and they really don&#39;t like us lot . Please wake up it is coming,positive
@grantcaldwell1582,2024-01-28 04:43:48+00:00,2024-01-28 04:43:48+00:00,0.0,"This guy is controlled opposition, and if you&#39;re too foolish to see it, you&#39;ll believe anything.",negative
